Pair: SHBI and WABC, Profit: 811.059767497036
Pair: CFB and EVBN, Profit: 807.6002482851018
Pair: HBNC and TFIN, Profit: 804.8914925780492
Pair: TRMK and WSFS, Profit: 799.9263912160135
Pair: BUSE and FBK, Profit: 798.2392282181457
Pair: FNB and ONB, Profit: 796.5531197723378
Pair: HTBK and WSFS, Profit: 793.5973672961911
Pair: HTBK and HTLF, Profit: 788.6123510617734
Pair: AMTB and FBMS, Profit: 786.1546127690824
Pair: FCNCA and SBSI, Profit: 782.9487716558124
Pair: BWB and SSB, Profit: 778.3521178491782
Pair: RJF and SSB, Profit: 776.9391544059584
Pair: FCNCA and MSBI, Profit: 776.8874947508002
Pair: BKU and CADE, Profit: 774.6508330452664
Pair: FMBH and HBNC, Profit: 768.2773346348146
Pair: SHBI and SSB, Profit: 764.2104131451052
Pair: FCNCA and FELE, Profit: 760.6273436197887
Pair: EBC and VBTX, Profit: 757.9109400287223
Pair: CFB and WABC, Profit: 757.4363897430363
Pair: BUSE and HEES, Profit: 755.6789879616224
Pair: CFB and FCNCA, Profit: 745.4274044873099
Pair: FCNCA and NBHC, Profit: 741.9360470987148
Pair: FBMS and HBNC, Profit: 739.8856363466386
Pair: FCNCA and NBTB, Profit: 736.1310972464557
Pair: CVBF and FNB, Profit: 735.2473806596574
Pair: BY and FNB, Profit: 725.3084217080334
Pair: FNB and SBCF, Profit: 723.8449241176221
Pair: SNV and WSBC, Profit: 722.4150872381056
Pair: CFB and HTLF, Profit: 716.633918593571
Pair: HBNC and INDB, Profit: 716.181865976938
Pair: FBMS and HTBK, Profit: 713.8478435232618
Pair: BUSE and HCSG, Profit: 704.874859298343
Pair: NBHC and WNC, Profit: 704.8461276798881
Pair: UPBD and WSFS, Profit: 701.790785839191
Pair: BUSE and PFBC, Profit: 687.2978227126385
Pair: OCFC and TBBK, Profit: 675.81301990272
Pair: INDB and SIGI, Profit: 673.0197791490252
Pair: FBK and HBNC, Profit: 661.9590045928142
Pair: HBNC and PRK, Profit: 653.4158237908966
Pair: NBBK and WSBC, Profit: 652.8865215978444
Pair: HEES and SSB, Profit: 652.1301678152269
Pair: CFB and TFIN, Profit: 650.7772468869022
Pair: SIGI and TRST, Profit: 650.700632576826
Pair: SHBI and WSFS, Profit: 644.6823452435083
Pair: AX and FNB, Profit: 639.5406657329581
Pair: NTCT and SSB, Profit: 630.2379823513204
Pair: AMTB and UMBF, Profit: 626.806259111599
Pair: ALRS and LBTYK, Profit: 625.4710588360515
Pair: BUSE and WNC, Profit: 622.0674937003143
Pair: BUSE and WSFS, Profit: 619.692347619806
Pair: EBC and ONB, Profit: 616.5956823866329
Pair: CFB and SYBT, Profit: 613.4899290067399
Pair: SSB and TRN, Profit: 609.1946424387802
Pair: SSB and WSFS, Profit: 606.8649831366661
Pair: RJF and WSFS, Profit: 598.5455715333896
Pair: EBC and WSBC, Profit: 597.234771608355
Pair: EBC and FNB, Profit: 593.4087474806729
Pair: NTCT and WSFS, Profit: 591.1572205173507
Pair: HBNC and NBHC, Profit: 589.1601618730815
Pair: CFB and NBHC, Profit: 576.884294356135
Pair: BUSE and IBTX, Profit: 566.2845920016136
Pair: INDB and WNC, Profit: 561.9450865718735
Pair: FCNCA and HBNC, Profit: 560.8115998576851
